timestamp,actual_value,reconstructed_value,reconstruction_error,anomaly_score,prediction,prediction_label,ground_truth,ground_truth_label,status
2014-12-20 11:30:00,21529.0,19546.945,0.000739,0.137877,0,Normal,0,Normal,True Negative (TN)
2014-12-20 12:00:00,22544.0,18918.629,0.001263,0.235445,0,Normal,0,Normal,True Negative (TN)
2014-12-20 12:30:00,22751.0,19248.633,0.002028,0.378234,0,Normal,0,Normal,True Negative (TN)
2014-12-20 13:00:00,22743.998,20110.781,0.001746,0.32564,0,Normal,0,Normal,True Negative (TN)
2014-12-20 13:30:00,22262.998,19700.713,0.001609,0.300081,0,Normal,0,Normal,True Negative (TN)
2014-12-20 14:00:00,22212.0,19501.527,0.002134,0.397895,0,Normal,0,Normal,True Negative (TN)
2014-12-20 14:30:00,21906.0,20027.3,0.002246,0.418785,0,Normal,0,Normal,True Negative (TN)
2014-12-20 15:00:00,21744.0,20602.129,0.002094,0.390522,0,Normal,0,Normal,True Negative (TN)
2014-12-20 15:30:00,21172.998,20940.924,0.002055,0.383149,0,Normal,0,Normal,True Negative (TN)
2014-12-20 16:00:00,18061.0,21030.479,0.002494,0.464988,0,Normal,0,Normal,True Negative (TN)
2014-12-20 16:30:00,15360.0,21086.408,0.003704,0.690599,0,Normal,0,Normal,True Negative (TN)
2014-12-20 17:00:00,17470.0,21090.172,0.004183,0.780057,0,Normal,0,Normal,True Negative (TN)
2014-12-20 17:30:00,20909.0,20941.406,0.004237,0.790134,0,Normal,0,Normal,True Negative (TN)
2014-12-20 18:00:00,22561.998,20547.004,0.004334,0.808074,0,Normal,0,Normal,True Negative (TN)
2014-12-20 18:30:00,24471.0,20130.812,0.004584,0.854769,0,Normal,0,Normal,True Negative (TN)
2014-12-20 19:00:00,25685.0,19841.887,0.00554,1.033001,1,Anomaly,0,Normal,False Positive (FP)
2014-12-20 19:30:00,25251.998,19701.744,0.01152,2.148105,1,Anomaly,0,Normal,False Positive (FP)
2014-12-20 20:00:00,23237.998,21013.078,0.009119,1.700304,1,Anomaly,0,Normal,False Positive (FP)
2014-12-20 20:30:00,22683.0,22684.463,0.006372,1.188188,1,Anomaly,0,Normal,False Positive (FP)
2014-12-20 21:00:00,22523.0,24977.385,0.004999,0.932185,0,Normal,0,Normal,True Negative (TN)
2014-12-20 21:30:00,23214.0,25701.979,0.005739,1.070118,1,Anomaly,0,Normal,False Positive (FP)
2014-12-20 22:00:00,23741.0,25995.467,0.006293,1.173469,1,Anomaly,0,Normal,False Positive (FP)
2014-12-20 22:30:00,24613.998,25834.787,0.006484,1.208986,1,Anomaly,0,Normal,False Positive (FP)
2014-12-20 23:00:00,25195.0,25564.605,0.006283,1.171549,1,Anomaly,0,Normal,False Positive (FP)
2014-12-20 23:30:00,25864.0,25455.393,0.005714,1.065478,1,Anomaly,0,Normal,False Positive (FP)
2014-12-21 00:00:00,25529.998,25602.814,0.004869,0.907854,0,Normal,0,Normal,True Negative (TN)
2014-12-21 00:30:00,24429.0,24449.451,0.004231,0.788905,0,Normal,0,Normal,True Negative (TN)
2014-12-21 01:00:00,22975.998,22977.865,0.003725,0.694532,0,Normal,0,Normal,True Negative (TN)
2014-12-21 01:30:00,21027.0,21741.047,0.003221,0.60065,0,Normal,0,Normal,True Negative (TN)
2014-12-21 02:00:00,19741.0,20146.105,0.002651,0.494234,0,Normal,0,Normal,True Negative (TN)
